????,????,???????,????,????1,????2,????,????,?????,?????,???????,???????,??????,????????
???¶≤?????????????,8.7,??????,?????,???,????????,???????????,47.1,0.5,2.4,??208??  ?????,2022-11-30 11:27:02,208,https://www.qimao.com/shuku/1667171/
????????°§,9.3,??????,?????,????,???????,???,26.93,0.5,1.5,??41??  ??????ß≥?????????????????????????,2022-11-30 16:46:01,41,https://www.qimao.com/shuku/1671708/
??????????,8.4,??????,?????,???,??????,?????ß≥??,45.64,0.5,2.1,??228??  ????????????,2022-11-30 16:36:03,228,https://www.qimao.com/shuku/1666901/
??????????,9.6,??????,?????,???,??????,????????,48.59,0.4,4.7,??239??  ????????????????????????????,2022-11-30 13:18:32,239,https://www.qimao.com/shuku/1655668/
???????,8.9,??????,?????,????,????????,ß’??ß≥??,48.68,0.3,2.8,??241??  ???????????????????????,2022-11-29 23:05:02,241,https://www.qimao.com/shuku/1656007/
???????????????,8.0,??????,?????,????????,????????,??????,16.16,0.3,0.4,??70??  ??,2022-11-30 16:39:02,71,https://www.qimao.com/shuku/1670714/
???????????????,9.0,??????,?????,???,??????,????æú,39.89,0.2,3.2,??195??  ??????,2022-11-29 23:09:02,195,https://www.qimao.com/shuku/1661199/
????????,8.8,??????,?????,????????,???ß⁄???,??ß≥??,42.99,0.2,2.3,??202??  ?????????ßÿ?,2022-11-29 20:02:02,202,https://www.qimao.com/shuku/1658030/
?????????,8.6,??????,?????,???,??????,??????,21.38,0.2,0.7,??83??  ???????????,2022-11-30 14:14:01,83,https://www.qimao.com/shuku/1671238/
???????,8.8,??????,?????,????????,???ß⁄???,?????????,48.52,0.3,4.8,??235??  ???????,2022-11-29 23:55:03,235,https://www.qimao.com/shuku/1658835/
NBA?????????3D????????08????,8.0,??????,?????,????,???????,??????,16.63,0.2,0.8,??81??  ?????????????,2022-11-30 08:31:01,83,https://www.qimao.com/shuku/1672289/
??????????????????????????????ªi??,8.0,??????,?????,????,????????,??????,17.26,0.2,0.8,??70??  ??????????????,2022-11-29 23:01:32,70,https://www.qimao.com/shuku/1670786/
????,8.8,??????,?????,???????,????????,?????????,37.35,0.2,1.4,??170??  ???????????????????,2022-11-30 15:24:01,170,https://www.qimao.com/shuku/1669374/
?????????,9.2,??????,?????,???,??????,??????,45.84,0.2,1.6,??226??  ?????????????,2022-11-29 21:03:03,226,https://www.qimao.com/shuku/1668239/
?????????????????????,7.0,??????,?????,????????,???ß⁄???,????????,21.61,0.3,0.5,??85??  ?????????????,2022-11-30 08:34:02,85,https://www.qimao.com/shuku/1671948/
???24?????????,8.2,??????,?????,????????,???ß⁄???,ß≥????????,43.4,0.2,1.4,??214??  ???????,2022-11-30 11:22:02,214,https://www.qimao.com/shuku/1669599/
???????,7.1,??????,?????,???,??????,???,21.39,0.2,0.5,??104??  ?????????,2022-11-29 23:00:01,104,https://www.qimao.com/shuku/1671710/
????????,8.8,??????,?????,???,??????,?–˜??,27.45,0.2,2.3,??79??  ???,2022-11-30 01:04:04,79,https://www.qimao.com/shuku/1669791/
??????,9.0,???,?????,????????,????????,???,437.23,14.1,342.7,??1953??  ????????,2022-08-31 22:20:13,1953,https://www.qimao.com/shuku/213692/
????????????,9.2,???,?????,???????,?????,?ß≥??,565.74,5.6,1118,??2691??  ???∂•??????????,2022-07-05 12:01:24,2691,https://www.qimao.com/shuku/151066/
????????,9.1,???,?????,????????,????????,?????,243.5,5.1,1935.3,??1179??  ???????????????????,2021-10-12 11:14:06,1179,https://www.qimao.com/shuku/197091/
????????,9.1,???,?????,????????,???ßµ?,???????,372.74,4.9,1541.9,??1714??  ??????,2022-07-10 20:11:13,1714,https://www.qimao.com/shuku/152973/
???ß≥???,8.9,???,?????,???,??????,???????,267.22,4.3,329,??1310??  ??????,2022-10-25 22:48:10,1310,https://www.qimao.com/shuku/208898/
????????,9.0,???,?????,???,??????,??????,418.84,4.2,182.5,??1765??  ??,2022-11-29 18:30:12,1765,https://www.qimao.com/shuku/219808/
???????,9.2,???,?????,????????,???ß⁄???,????,395.98,4.2,1592.4,??1970??  ???????,2022-11-22 17:51:16,1970,https://www.qimao.com/shuku/149774/
????????????????,9.1,???,?????,???????,????????,???????,125.39,3.7,217.9,??601??  ??????????Ì‡???ÔÖ??????,2022-10-01 00:31:08,601,https://www.qimao.com/shuku/220019/
??????????®Æ????,9.5,???,?????,???,????????,???????,172.27,3.7,297.7,??831??  ?????????????????????????,2022-07-22 21:05:06,831,https://www.qimao.com/shuku/213520/
???????,8.9,???,?????,???????,????????,???,888.3,3.7,503.2,??3945??  ?????????????,2022-01-09 18:21:23,3945,https://www.qimao.com/shuku/113614/
????????????,9.0,???,?????,???,??????,????ß≥??????,195.84,3.6,251,??571??  ????,2022-10-21 16:31:06,571,https://www.qimao.com/shuku/215732/
????????????,9.1,???,?????,???,???¶≤??,??????,211.94,2.9,262,??1021??  ?????????,2022-05-26 08:42:07,1021,https://www.qimao.com/shuku/213501/
???1987?????,8.6,???,?????,????????,??????,???????,303.11,2.6,136.5,??1459??  ????,2022-10-06 12:51:11,1459,https://www.qimao.com/shuku/214778/
?????????????????,9.1,???,?????,????????,????????,?????,226.54,2.5,227.1,??1065??  ?????????????????????????????,2022-09-04 18:01:10,1065,https://www.qimao.com/shuku/217267/
???????????,8.8,???,?????,????????,????????,???????,352.95,2.4,664.1,??1673??  ????,2022-03-21 08:36:13,1673,https://www.qimao.com/shuku/149120/
???????,8.5,???,?????,????????,????????,???????,310.31,2.3,143.2,??993??  ?????,2022-09-01 00:17:08,993,https://www.qimao.com/shuku/211791/
???????,8.7,???,?????,????????,????????,???????,143.55,2.1,210.5,??690??  ????,2021-04-03 20:57:04,690,https://www.qimao.com/shuku/195229/
?????????????????,9.3,???,?????,???????,?????,??????,101.02,2.0,108.2,??405??  ?????????????,2021-09-09 22:22:02,405,https://www.qimao.com/shuku/206350/
??????????????,9.4,???,?????,???????,????????,????,172.26,1.8,375.9,"??772??  ??????,??????",2022-04-13 16:05:06,772,https://www.qimao.com/shuku/208895/
????????,9.0,???,?????,???,??????,?????,226.41,1.8,140.6,??720??  ???????????,2022-02-18 15:58:05,720,https://www.qimao.com/shuku/210770/
????????,9.1,???,?????,????????,????????,?????,243.5,5.1,1935.3,??1179??  ???????????????????,2021-10-12 11:14:06,1179,https://www.qimao.com/shuku/197091/
????????,9.1,???,?????,????????,???ßµ?,???????,372.74,4.9,1541.9,??1714??  ??????,2022-07-10 20:11:13,1714,https://www.qimao.com/shuku/152973/
???????,9.0,??????,?????,????????,???ß⁄???,??????,307.85,66.6,2271,??1417??  ??ß≥???????,2022-11-30 13:19:11,1417,https://www.qimao.com/shuku/215780/
