书名,评分,是否连载,签约状态,分类1,分类2,作者,字数,阅读数,人气值,更新张节,更新时间,总章数,详情页地址
我掌管着万界钱庄,9.2,完结,签约作品,玄幻奇幻,异界大陆,师小生,565.74,5.1,1122.6,第2691章  新书《仙府狂徒》！,2022-07-05 12:01:24,2691,https://www.qimao.com/shuku/151066/
最强学霸系统,9.1,完结,签约作品,都市人生,热血校园,佛系和尚,372.74,5.0,1546.4,第1714章  完结感言,2022-07-10 20:11:13,1714,https://www.qimao.com/shuku/152973/
民间诡闻实录,9.1,完结,签约作品,奇闻异事,奇门秘术,罗樵森,243.5,4.6,1937.9,第1179章  或许我可以给你答案（全书完）,2021-10-12 11:14:06,1179,https://www.qimao.com/shuku/197091/
不败战神,9.2,完结,签约作品,都市人生,都市高手,必焱,395.98,4.3,1594.7,第1970章  那片星空！,2022-11-22 17:51:16,1970,https://www.qimao.com/shuku/149774/
极品小侯爷,8.9,完结,签约作品,历史,架空历史,梦入山河,267.22,4.2,332.5,第1310章  落下帷幕,2022-10-25 22:48:10,1310,https://www.qimao.com/shuku/208898/
玄龙战神,8.9,完结,签约作品,玄幻奇幻,东方玄幻,黑影,888.3,3.4,504.3,第3945章  赤眼金瞳（大结局）,2022-01-09 18:21:23,3945,https://www.qimao.com/shuku/113614/
苟在女帝宫我举世无敌,9.1,完结,签约作品,玄幻奇幻,东方玄幻,逍遥自在,125.39,3.1,220.9,第601章  番外篇——滅，剑灵，叶逍遥！,2022-10-01 00:31:08,601,https://www.qimao.com/shuku/220019/
我的岳父是崇祯,9.0,完结,签约作品,历史,穿越历史,隔壁小王本尊,195.84,3.0,254.4,第571章  终章,2022-10-21 16:31:06,571,https://www.qimao.com/shuku/215732/
网游之开局获得成长天赋,9.5,完结,签约作品,游戏,虚拟网游,禅心道骨,172.27,2.9,300.5,第831章  去拿个世界冠军回来！（最终章）,2022-07-22 21:05:06,831,https://www.qimao.com/shuku/213520/
帝师是个坑,8.7,完结,签约作品,历史,架空历史,菲硕莫薯,418.84,2.9,184.1,第1765章  终,2022-11-29 18:30:12,1765,https://www.qimao.com/shuku/219808/
重返1987当首富,8.6,完结,签约作品,都市人生,商战职场,乘风破浪,303.11,2.8,138.7,第1459章  大结局,2022-10-06 12:51:11,1459,https://www.qimao.com/shuku/214778/
末世强者培养系统,9.1,完结,签约作品,科幻,末世危机,风雨白鸽,211.94,2.7,265,第1021章  完结，新的篇章,2022-05-26 08:42:07,1021,https://www.qimao.com/shuku/213501/
超级上门女婿,8.8,完结,签约作品,都市人生,异术超能,柠檬大叔,352.95,2.3,665.5,第1673章  大结局,2022-03-21 08:36:13,1673,https://www.qimao.com/shuku/149120/
盖世风王,8.6,完结,签约作品,都市人生,都市高手,卑微的小蚂蚁,110.08,2.3,199.5,第533章  你爸爸是盖世风王（大结局）,2021-04-30 23:21:02,533,https://www.qimao.com/shuku/198196/
民间诡闻实录之阴阳先生,9.1,完结,签约作品,奇闻异事,奇门秘术,罗樵森,226.54,2.2,228.2,第1065章  番外：柳天牛篇（最终章）：落叶不归根,2022-09-04 18:01:10,1065,https://www.qimao.com/shuku/217267/
中文十级的我异界无敌,9.3,完结,签约作品,玄幻奇幻,异界大陆,心弦轻弹,101.02,2.1,112,第405章  太古仙尊【完结章】,2021-09-09 22:22:02,405,https://www.qimao.com/shuku/206350/
混元主宰,8.5,完结,签约作品,武侠仙侠,幻想修真,仗剑修真,310.31,2.0,143.9,第993章  大结局！,2022-09-01 00:17:08,993,https://www.qimao.com/shuku/211791/
剑祖归来,8.7,完结,签约作品,都市人生,异术超能,醉梦星辰,143.55,1.8,212.6,第690章  大结局,2021-04-03 20:57:04,690,https://www.qimao.com/shuku/195229/
神级进化动物杀手团,9.4,完结,签约作品,玄幻奇幻,东方玄幻,九把火,172.26,1.9,377.7,"第772章  一声兄弟,一生兄弟",2022-04-13 16:05:06,772,https://www.qimao.com/shuku/208895/
民间诡闻实录,9.1,完结,签约作品,奇闻异事,奇门秘术,罗樵森,243.5,4.6,1937.9,第1179章  或许我可以给你答案（全书完）,2021-10-12 11:14:06,1179,https://www.qimao.com/shuku/197091/
最强学霸系统,9.1,完结,签约作品,都市人生,热血校园,佛系和尚,372.74,5.0,1546.4,第1714章  完结感言,2022-07-10 20:11:13,1714,https://www.qimao.com/shuku/152973/
绝世强龙,9.0,连载中,签约作品,都市人生,都市高手,张龙虎,311.08,62.9,2286,第1432章  夕阳醉了,2022-12-05 10:19:11,1432,https://www.qimao.com/shuku/215780/
盖世神医,9.5,连载中,签约作品,都市人生,都市修仙,狐颜乱语,318.53,121.7,2194.6,第1552章  老圣人！,2022-12-04 20:20:14,1552,https://www.qimao.com/shuku/195958/
我掌管着万界钱庄,9.2,完结,签约作品,玄幻奇幻,异界大陆,师小生,565.74,5.1,1122.6,第2691章  新书《仙府狂徒》！,2022-07-05 12:01:24,2691,https://www.qimao.com/shuku/151066/
不败战神,9.2,完结,签约作品,都市人生,都市高手,必焱,395.98,4.3,1594.7,第1970章  那片星空！,2022-11-22 17:51:16,1970,https://www.qimao.com/shuku/149774/
最强末世进化,9.1,连载中,签约作品,科幻,末世危机,蔡四爷,621.27,12.2,1059.7,第2093章  姜毅闹事,2022-12-04 23:40:17,2093,https://www.qimao.com/shuku/151762/
九阳武神,9.1,连载中,签约作品,玄幻奇幻,东方玄幻,我吃面包,533.53,14.1,899.3,第2280章  心魔,2022-12-04 22:42:18,2280,https://www.qimao.com/shuku/149769/
原来我是世外高人,9.1,完结,签约作品,玄幻奇幻,东方玄幻,葡萄,353.11,2.0,814.9,第1360章  大结局,2022-12-04 00:05:11,1360,https://www.qimao.com/shuku/198189/
我有七个无敌师父,9.4,连载中,签约作品,都市人生,都市高手,小骨,276.27,23.5,922.9,第1063章  施展魂咒，各方来临！,2022-12-04 23:48:08,1063,https://www.qimao.com/shuku/211057/
我能采集万物,9.2,连载中,签约作品,科幻,末世危机,存叶,269.66,5.8,625.5,第1023章  心魔,2022-12-04 23:46:09,1023,https://www.qimao.com/shuku/209898/
寒门枭士,9.3,连载中,签约作品,历史,架空历史,北川,248.56,36.8,1599.5,第1195章  盯死,2022-12-04 23:47:10,1195,https://www.qimao.com/shuku/215169/
吞噬古帝,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,黑白仙鹤,582.15,17.2,656.2,第2731章  不退让,2022-12-05 10:51:22,2731,https://www.qimao.com/shuku/213092/
我和软萌女友的恋爱日常,9.2,连载中,签约作品,都市人生,热血校园,佛系和尚,253.51,18.2,849.8,第1148章  我嫁的可是叶凡！,2022-12-05 00:23:14,1148,https://www.qimao.com/shuku/214789/
玄龙战神,8.9,完结,签约作品,玄幻奇幻,东方玄幻,黑影,888.3,3.4,504.3,第3945章  赤眼金瞳（大结局）,2022-01-09 18:21:23,3945,https://www.qimao.com/shuku/113614/
进化之从蚂蚁开始,8.1,完结,签约作品,玄幻奇幻,异界大陆,小晨,419.08,1.4,573.7,第2058章  会当凌绝顶，一览众山小,2021-12-31 11:51:11,2058,https://www.qimao.com/shuku/152136/
超级异兽培育系统,8.7,完结,签约作品,玄幻奇幻,异界大陆,爱笑的路人,263.74,0.9,493.8,第1240章  大结局,2021-07-19 09:41:07,1240,https://www.qimao.com/shuku/151588/
上门龙婿,9.1,连载中,签约作品,都市人生,商战职场,鸿兴哒哒,518.45,6.4,882.6,第2685章  对不起，是老子围堵你们才对！,2022-12-05 17:25:21,2685,https://www.qimao.com/shuku/151369/
超级上门女婿,8.8,完结,签约作品,都市人生,异术超能,柠檬大叔,352.95,2.3,665.5,第1673章  大结局,2022-03-21 08:36:13,1673,https://www.qimao.com/shuku/149120/
史上最狂至尊,8.0,连载中,签约作品,玄幻奇幻,东方玄幻,燕灵仙君,809.06,0.9,550.9,第3911章  塔外长老宫,2022-12-05 16:32:30,3911,https://www.qimao.com/shuku/191874/
极品太子爷,8.6,连载中,签约作品,历史,架空历史,雾都老烟斗,392.78,1.4,297.6,第1708章  追击,2022-12-04 16:19:27,1708,https://www.qimao.com/shuku/197812/
上门龙婿,9.1,连载中,签约作品,都市人生,商战职场,鸿兴哒哒,518.45,6.4,882.6,第2685章  对不起，是老子围堵你们才对！,2022-12-05 17:25:21,2685,https://www.qimao.com/shuku/151369/
寒门枭士,9.3,连载中,签约作品,历史,架空历史,北川,248.56,36.8,1599.5,第1195章  盯死,2022-12-04 23:47:10,1195,https://www.qimao.com/shuku/215169/
绝世强龙,9.0,连载中,签约作品,都市人生,都市高手,张龙虎,311.08,62.9,2286,第1432章  夕阳醉了,2022-12-05 10:19:11,1432,https://www.qimao.com/shuku/215780/
盖世神医,9.5,连载中,签约作品,都市人生,都市修仙,狐颜乱语,318.53,121.7,2194.6,第1552章  老圣人！,2022-12-04 20:20:14,1552,https://www.qimao.com/shuku/195958/
我和软萌女友的恋爱日常,9.2,连载中,签约作品,都市人生,热血校园,佛系和尚,253.51,18.2,849.8,第1148章  我嫁的可是叶凡！,2022-12-05 00:23:14,1148,https://www.qimao.com/shuku/214789/
九天斩神诀,8.9,连载中,签约作品,玄幻奇幻,异界大陆,小知了,298.27,17.4,617.6,第921章  还请拔剑,2022-12-05 16:15:08,921,https://www.qimao.com/shuku/213103/
九狼图,9.4,连载中,签约作品,科幻,末世危机,纯银耳坠,395.22,5.5,190.9,第1307章  突发事件,2022-12-05 09:36:10,1307,https://www.qimao.com/shuku/216055/
王者归来,7.9,完结,签约作品,都市人生,都市高手,云沉,274.34,0.4,244.7,第939章  大结局！,2021-05-31 22:20:05,939,https://www.qimao.com/shuku/151807/
吞噬古帝,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,黑白仙鹤,582.15,17.2,656.2,第2731章  不退让,2022-12-05 10:51:22,2731,https://www.qimao.com/shuku/213092/
九阳武神,9.1,连载中,签约作品,玄幻奇幻,东方玄幻,我吃面包,533.53,14.1,899.3,第2280章  心魔,2022-12-04 22:42:18,2280,https://www.qimao.com/shuku/149769/
重回1990,8.4,完结,签约作品,都市人生,商战职场,乱了方寸,100.25,0.2,18.1,第451章  不朽的传奇,2022-03-31 13:17:04,451,https://www.qimao.com/shuku/217087/
震惊我的徒弟是女帝,8.6,完结,签约作品,玄幻奇幻,东方玄幻,山中行,123.77,0.3,54.2,第618章  一切结束,2022-03-31 23:30:05,618,https://www.qimao.com/shuku/216570/
不败战神,9.2,完结,签约作品,都市人生,都市高手,必焱,395.98,4.3,1594.7,第1970章  那片星空！,2022-11-22 17:51:16,1970,https://www.qimao.com/shuku/149774/
万古至尊,9.1,完结,签约作品,玄幻奇幻,东方玄幻,剑九歌,198.36,0.4,93.4,第908章  终结,2020-07-31 09:01:48,908,https://www.qimao.com/shuku/149140/
超凡医婿,9.1,连载中,签约作品,都市人生,都市高手,古剑山,125.78,8.4,84.4,第582章  返回酒店,2022-12-04 23:56:06,582,https://www.qimao.com/shuku/220828/
万古龙帝,8.9,连载中,签约作品,玄幻奇幻,东方玄幻,拓跋流云,709.4,11.8,380,第1964章  他的身份不可能有问题！,2022-12-05 08:57:15,1964,https://www.qimao.com/shuku/210771/
我的四个绝美师姐,8.0,连载中,签约作品,都市人生,都市修仙,回头浪,34.14,0.2,1.4,第153章  三师姐真牛哔,2022-12-05 16:33:02,153,https://www.qimao.com/shuku/1669270/
九转星辰诀,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,晨弈,540.56,6.7,365.2,第2409章  努力的青使者,2022-12-04 19:41:18,2409,https://www.qimao.com/shuku/202636/
重返1993,9.3,连载中,签约作品,都市人生,都市高手,九斗,38.15,0.1,3.8,第181章  搬楼上住吧,2022-12-02 22:29:02,181,https://www.qimao.com/shuku/219061/
