标题,大小,地点,小区,价格
整租·牛街·东华金座·1室,1  室  1  厅  ·  51㎡  ·  西  ·  中楼层/22层  ·  简装,"
                牛街                 ","
                    东华金座                ",5800
整租·玉泉营·三环新城8号院·1室,1  室  1  厅  ·  50㎡  ·  东  ·  低楼层/15层  ·  简装,"
                玉泉营                 ","
                    三环新城8号院                ",5000
整租·马家堡·嘉园三里·1室,1  室  1  厅  ·  51㎡  ·  西  ·  中楼层/12层  ·  简装,"
                马家堡                 ","
                    嘉园三里                ",4300
整租·惠新西街·胜古东里·2室,2  室  1  厅  ·  52㎡  ·  南北  ·  低楼层/6层  ·  简装,"
                惠新西街                 ","
                    胜古东里                ",6650
整租·圆明园·芙蓉里小区·1室,1  室  1  厅  ·  42㎡  ·  南  ·  低楼层/15层  ·  简装,"
                圆明园                 ","
                    芙蓉里小区                ",6550
整租·德胜门·新风南里·2室,2  室  1  厅  ·  68㎡  ·  南  ·  高楼层/6层  ·  简装,"
                德胜门                 ","
                    新风南里                ",6900
整租·草桥·冬季星空·2室,2  室  1  厅  ·  50㎡  ·  北  ·  低楼层/23层  ·  简装,"
                草桥                 ","
                    冬季星空                ",5900
整租·苹果园·苹果园一区·1室,1  室  1  厅  ·  40㎡  ·  南  ·  低楼层/6层  ·  简装,"
                苹果园                 ","
                    苹果园一区                ",3900
整租·常营·柏林爱乐二期·1室,1  室  1  厅  ·  56㎡  ·  南北  ·  低楼层/8层  ·  简装,"
                常营                 ","
                    柏林爱乐二期                ",4515
整租·旧宫·广安康璟家园·2室,2  室  1  厅  ·  86㎡  ·  南北  ·  中楼层/26层  ·  简装,"
                旧宫                 ","
                    广安康璟家园                ",4500
整租·石佛营·日月东华·2室,2  室  1  厅  ·  77㎡  ·  南  ·  高楼层/23层  ·  简装,"
                石佛营                 ","
                    日月东华                ",6000
整租·果园·苏荷时代·1室,1  室  1  厅  ·  44㎡  ·  西北  ·  中楼层/24层  ·  简装,"
                果园                 ","
                    苏荷时代                ",3699
整租·蒲黄榆·蒲安里·2室,2  室  1  厅  ·  54㎡  ·  南北  ·  中楼层/6层  ·  简装,"
                蒲黄榆                 ","
                    蒲安里                ",5260
整租·团结湖·团结湖北四条·2室,2  室  1  厅  ·  55㎡  ·  南  ·  低楼层/18层  ·  简装,"
                团结湖                 ","
                    团结湖北四条                ",6300
整租·刘家窑·石榴园北里·2室,2  室  1  厅  ·  58㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                刘家窑                 ","
                    石榴园北里                ",4800
整租·蒲黄榆·蒲黄榆路·1室,1  室  1  厅  ·  37㎡  ·  南北  ·  中楼层/17层  ·  简装,"
                蒲黄榆                 ","
                    蒲黄榆路                ",3600
整租·宋家庄·鑫兆雅园北区·1室,1  室  1  厅  ·  34㎡  ·  西  ·  中楼层/20层  ·  简装,"
                宋家庄                 ","
                    鑫兆雅园北区                ",4500
整租·红庙·慈云寺·2室,2  室  1  厅  ·  62㎡  ·  东南  ·  低楼层/22层  ·  简装,"
                红庙                 ","
                    慈云寺                ",5800
整租·广安门·荣丰2008·1室,1  室  1  厅  ·  27㎡  ·  东  ·  中楼层/28层  ·  简装,"
                广安门                 ","
                    荣丰2008                ",4064
整租·石佛营·炫特嘉园三期·1室,1  室  1  厅  ·  40㎡  ·  北  ·  中楼层/24层  ·  简装,"
                石佛营                 ","
                    炫特嘉园三期                ",5000
整租·太平桥·太平桥西里·2室,2  室  1  厅  ·  57㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                太平桥                 ","
                    太平桥西里                ",5950
整租·安贞·安华西里一区·1室,1  室  1  厅  ·  40㎡  ·  东  ·  高楼层/6层  ·  简装,"
                安贞                 ","
                    安华西里一区                ",5900
整租·酒仙桥·电子城小区·2室,2  室  1  厅  ·  67㎡  ·  东  ·  中楼层/25层  ·  简装,"
                酒仙桥                 ","
                    电子城小区                ",6500
整租·西三旗·育新花园·1室,1  室  1  厅  ·  51㎡  ·  南  ·  高楼层/6层  ·  简装,"
                西三旗                 ","
                    育新花园                ",4400
整租·通州北苑·长城国际·1室,1  室  1  厅  ·  49㎡  ·  东  ·  中楼层/23层  ·  简装,"
                通州北苑                 ","
                    长城国际                ",3500
整租·梨园·云景西里南区·2室,2  室  1  厅  ·  57㎡  ·  南北  ·  低楼层/6层  ·  简装,"
                梨园                 ","
                    云景西里南区                ",3350
整租·刘家窑·石榴园北里·2室,2  室  1  厅  ·  58㎡  ·  南北  ·  中楼层/6层  ·  精装,"
                刘家窑                 ","
                    石榴园北里                ",4500
整租·立水桥·合立方·2室,2  室  1  厅  ·  69㎡  ·  南  ·  高楼层/23层  ·  简装,"
                立水桥                 ","
                    合立方                ",6200
整租·清河·永泰东里·1室,1  室  1  厅  ·  48㎡  ·  西  ·  中楼层/6层  ·  简装,"
                清河                 ","
                    永泰东里                ",5150
整租·十里堡·十里堡东里·2室,2  室  1  厅  ·  53㎡  ·  南北  ·  中楼层/5层  ·  简装,"
                十里堡                 ","
                    十里堡东里                ",5200
整租·定福庄·福盈家园1号院·2室,2  室  1  厅  ·  71㎡  ·  南北  ·  低楼层/20层  ·  简装,"
                定福庄                 ","
                    福盈家园1号院                ",5600
整租·石佛营·炫特嘉园一期·1室,1  室  1  厅  ·  36㎡  ·  南  ·  低楼层/19层  ·  简装,"
                石佛营                 ","
                    炫特嘉园一期                ",4600
整租·红庙·金台里·2室,2  室  1  厅  ·  57㎡  ·  南  ·  低楼层/16层  ·  简装,"
                红庙                 ","
                    金台里                ",6590
整租·广安门·荣丰2008·1室,1  室  1  厅  ·  36㎡  ·  东  ·  低楼层/18层  ·  简装,"
                广安门                 ","
                    荣丰2008                ",5200
整租·苏州桥·海淀南路·1室,1  室  1  厅  ·  41㎡  ·  南  ·  中楼层/16层  ·  简装,"
                苏州桥                 ","
                    海淀南路                ",7500
整租·草桥·玺萌鹏苑·1室,1  室  1  厅  ·  33㎡  ·  北  ·  高楼层/26层  ·  简装,"
                草桥                 ","
                    玺萌鹏苑                ",3900
整租·双桥·朝阳旺角·2室,2  室  1  厅  ·  73㎡  ·  东  ·  中楼层/17层  ·  简装,"
                双桥                 ","
                    朝阳旺角                ",5200
整租·亚运村·慧忠里B区·1室,1  室  1  厅  ·  45㎡  ·  东  ·  中楼层/6层  ·  简装,"
                亚运村                 ","
                    慧忠里B区                ",5450
整租·广安门·荣丰2008·1室,1  室  1  厅  ·  25㎡  ·  南  ·  中楼层/28层  ·  简装,"
                广安门                 ","
                    荣丰2008                ",3800
整租·北苑·恒大名都嘉园·2室,2  室  1  厅  ·  79㎡  ·  东  ·  高楼层/38层  ·  简装,"
                北苑                 ","
                    恒大名都嘉园                ",6900
整租·健翔桥·健翔国际公寓·1室,1  室  1  厅  ·  32㎡  ·  西  ·  高楼层/13层  ·  简装,"
                健翔桥                 ","
                    健翔国际公寓                ",5350
整租·马连洼·肖家河新村东区·1室,1  室  1  厅  ·  54㎡  ·  南北  ·  低楼层/11层  ·  简装,"
                马连洼                 ","
                    肖家河新村东区                ",6300
整租·亚运村小营·欧陆经典风格派·1室,1  室  1  厅  ·  51㎡  ·  南  ·  低楼层/21层  ·  简装,"
                亚运村小营                 ","
                    欧陆经典风格派                ",5800
整租·黄村中·富强东里·2室,2  室  1  厅  ·  55㎡  ·  东  ·  高楼层/6层  ·  简装,"
                黄村中                 ","
                    富强东里                ",3200
整租·牡丹园·牡丹园电视机厂宿舍·2室,2  室  1  厅  ·  40㎡  ·  南北  ·  高楼层/5层  ·  简装,"
                牡丹园                 ","
                    牡丹园电视机厂宿舍                ",6500
整租·方庄·芳星园二区·1室,1  室  1  厅  ·  48㎡  ·  南  ·  低楼层/25层  ·  简装,"
                方庄                 ","
                    芳星园二区                ",4500
整租·清河·清缘东里·2室,2  室  1  厅  ·  85㎡  ·  南北  ·  低楼层/10层  ·  简装,"
                清河                 ","
                    清缘东里                ",6200
整租·垡头·垡头西里·2室,2  室  1  厅  ·  51㎡  ·  南北  ·  高楼层/5层  ·  简装,"
                垡头                 ","
                    垡头西里                ",4399
整租·万达·后南仓·2室,2  室  1  厅  ·  57㎡  ·  南北  ·  低楼层/6层  ·  简装,"
                万达                 ","
                    后南仓                ",3699
整租·和义·三角地·2室,2  室  1  厅  ·  52㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                和义                 ","
                    三角地                ",3450
整租·酒仙桥·飘HOME·1室,1  室  1  厅  ·  39㎡  ·  东北  ·  低楼层/25层  ·  简装,"
                酒仙桥                 ","
                    飘HOME                ",5600
整租·科技园区·设计师广场·1室,1  室  1  厅  ·  48㎡  ·  东南  ·  高楼层/23层  ·  简装,"
                科技园区                 ","
                    设计师广场                ",4200
整租·石佛营·八里庄北里·2室,2  室  1  厅  ·  61㎡  ·  南  ·  高楼层/6层  ·  简装,"
                石佛营                 ","
                    八里庄北里                ",6000
整租·木樨地·西便门东里·2室,2  室  1  厅  ·  60㎡  ·  南北  ·  低楼层/14层  ·  简装,"
                木樨地                 ","
                    西便门东里                ",7600
整租·劲松·垂杨柳北里·1室,1  室  1  厅  ·  54㎡  ·  东  ·  中楼层/18层  ·  简装,"
                劲松                 ","
                    垂杨柳北里                ",5350
整租·马连道·西环景苑·2室,2  室  1  厅  ·  92㎡  ·  东南  ·  高楼层/19层  ·  简装,"
                马连道                 ","
                    西环景苑                ",7800
整租·鲁谷·永乐西区·2室,2  室  1  厅  ·  60㎡  ·  南  ·  高楼层/6层  ·  简装,"
                鲁谷                 ","
                    永乐西区                ",4850
整租·北苑·华贸城9号院·1室,1  室  2  厅  ·  52㎡  ·  东  ·  低楼层/18层  ·  简装,"
                北苑                 ","
                    华贸城9号院                ",6200
整租·果园·葛布店东里·2室,2  室  1  厅  ·  58㎡  ·  南北  ·  中楼层/6层  ·  简装,"
                果园                 ","
                    葛布店东里                ",3200
整租·亚运村·安慧里二区·2室,2  室  1  厅  ·  62㎡  ·  南  ·  低楼层/18层  ·  简装,"
                亚运村                 ","
                    安慧里二区                ",6583
整租·惠新西街·胜古北里·2室,2  室  1  厅  ·  53㎡  ·  南北  ·  中楼层/5层  ·  简装,"
                惠新西街                 ","
                    胜古北里                ",6700
整租·清河·永泰西里·1室,1  室  1  厅  ·  46㎡  ·  南  ·  高楼层/6层  ·  简装,"
                清河                 ","
                    永泰西里                ",4550
整租·定福庄·三间房南里7号院·2室,2  室  1  厅  ·  40㎡  ·  南  ·  中楼层/4层  ·  简装,"
                定福庄                 ","
                    三间房南里7号院                ",3900
整租·红庙·金台里·2室,2  室  1  厅  ·  57㎡  ·  南北  ·  低楼层/6层  ·  简装,"
                红庙                 ","
                    金台里                ",6200
整租·常营·住欣家园西区·2室,2  室  1  厅  ·  70㎡  ·  东  ·  高楼层/26层  ·  简装,"
                常营                 ","
                    住欣家园西区                ",5650
整租·北苑·北苑家园绣菊园·2室,2  室  1  厅  ·  82㎡  ·  南北  ·  低楼层/14层  ·  简装,"
                北苑                 ","
                    北苑家园绣菊园                ",6500
整租·大红门·苗圃西里·2室,2  室  1  厅  ·  60㎡  ·  北  ·  高楼层/6层  ·  简装,"
                大红门                 ","
                    苗圃西里                ",4300
整租·望京·世安家园·2室,2  室  1  厅  ·  66㎡  ·  南北  ·  中楼层/6层  ·  简装,"
                望京                 ","
                    世安家园                ",6450
整租·双井·东方雅苑·1室,1  室  1  厅  ·  37㎡  ·  南北  ·  低楼层/21层  ·  简装,"
                双井                 ","
                    东方雅苑                ",4800
整租·石佛营·炫特嘉园三期·1室,1  室  1  厅  ·  40㎡  ·  北  ·  中楼层/24层  ·  简装,"
                石佛营                 ","
                    炫特嘉园三期                ",5100
整租·广安门·荣丰2008·1室,1  室  1  厅  ·  33㎡  ·  东  ·  中楼层/28层  ·  简装,"
                广安门                 ","
                    荣丰2008                ",4800
整租·月坛·三里河三区·2室,2  室  1  厅  ·  49㎡  ·  东北  ·  低楼层/5层  ·  简装,"
                月坛                 ","
                    三里河三区                ",8800
整租·定慧寺·西八里庄北里·2室,2  室  1  厅  ·  46㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                定慧寺                 ","
                    西八里庄北里                ",6500
整租·苹果园·模式口南里·2室,2  室  1  厅  ·  55㎡  ·  南  ·  中楼层/6层  ·  简装,"
                苹果园                 ","
                    模式口南里                ",4275
整租·潘家园·潘家园·2室,2  室  1  厅  ·  57㎡  ·  南北  ·  低楼层/6层  ·  简装,"
                潘家园                 ","
                    潘家园                ",5100
整租·苹果园·广宁村·2室,2  室  1  厅  ·  58㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                苹果园                 ","
                    广宁村                ",2700
整租·太平桥·太平桥西里·1室,1  室  1  厅  ·  48㎡  ·  西  ·  高楼层/17层  ·  简装,"
                太平桥                 ","
                    太平桥西里                ",4868
整租·木樨地·西便门西里·2室,2  室  1  厅  ·  53㎡  ·  东南  ·  高楼层/20层  ·  简装,"
                木樨地                 ","
                    西便门西里                ",7300
整租·健翔桥·安翔南里·2室,2  室  1  厅  ·  46㎡  ·  南  ·  高楼层/5层  ·  简装,"
                健翔桥                 ","
                    安翔南里                ",6100
整租·双桥·远洋一方润园6号院·2室,2  室  1  厅  ·  74㎡  ·  南北  ·  高楼层/15层  ·  简装,"
                双桥                 ","
                    远洋一方润园6号院                ",4980
整租·朝青·国美第一城3号院·2室,2  室  1  厅  ·  94㎡  ·  南  ·  低楼层/27层  ·  简装,"
                朝青                 ","
                    国美第一城3号院                ",8000
整租·亚运村小营·育慧西里·2室,2  室  1  厅  ·  55㎡  ·  南北  ·  高楼层/7层  ·  简装,"
                亚运村小营                 ","
                    育慧西里                ",6300
整租·永定门·李村南里·2室,2  室  1  厅  ·  56㎡  ·  东北  ·  高楼层/6层  ·  简装,"
                永定门                 ","
                    李村南里                ",4650
整租·朝青·青年汇佳园·1室,1  室  1  厅  ·  35㎡  ·  北  ·  低楼层/15层  ·  简装,"
                朝青                 ","
                    青年汇佳园                ",5400
整租·宋家庄·鑫兆雅园北区·1室,1  室  1  厅  ·  32㎡  ·  西  ·  低楼层/20层  ·  简装,"
                宋家庄                 ","
                    鑫兆雅园北区                ",4500
整租·立水桥·溪城家园2号院·1室,1  室  1  厅  ·  58㎡  ·  南北  ·  高楼层/15层  ·  简装,"
                立水桥                 ","
                    溪城家园2号院                ",5000
整租·武夷花园·月亮城堡·1室,1  室  1  厅  ·  58㎡  ·  西  ·  中楼层/11层  ·  简装,"
                武夷花园                 ","
                    月亮城堡                ",3399
整租·菜户营·万泉盛景园住宅小区·1室,1  室  1  厅  ·  58㎡  ·  东南  ·  高楼层/27层  ·  简装,"
                菜户营                 ","
                    万泉盛景园住宅小区                ",5360
整租·立水桥·北京北小区·2室,2  室  1  厅  ·  81㎡  ·  东南  ·  中楼层/20层  ·  简装,"
                立水桥                 ","
                    北京北小区                ",6880
整租·惠新西街·小关东街·2室,2  室  1  厅  ·  61㎡  ·  东北  ·  低楼层/14层  ·  简装,"
                惠新西街                 ","
                    小关东街                ",7000
整租·学院路·双清路2号院·1室,1  室  1  厅  ·  58㎡  ·  南  ·  中楼层/28层  ·  简装,"
                学院路                 ","
                    双清路2号院                ",6000
整租·广安门·京铁和园·1室,1  室  1  厅  ·  37㎡  ·  东  ·  低楼层/28层  ·  简装,"
                广安门                 ","
                    京铁和园                ",4680
整租·北苑·平安嘉苑·2室,2  室  1  厅  ·  87㎡  ·  南  ·  低楼层/25层  ·  简装,"
                北苑                 ","
                    平安嘉苑                ",6700
整租·枣园·清源西里·2室,2  室  1  厅  ·  55㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                枣园                 ","
                    清源西里                ",3700
整租·马家堡·嘉园二里·2室,2  室  1  厅  ·  58㎡  ·  南  ·  低楼层/6层  ·  简装,"
                马家堡                 ","
                    嘉园二里                ",5555
整租·刘家窑·方南家园一期·2室,2  室  1  厅  ·  64㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                刘家窑                 ","
                    方南家园一期                ",5200
整租·安贞·安华里五区·2室,2  室  1  厅  ·  56㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                安贞                 ","
                    安华里五区                ",6400
整租·海淀北部新区·唐家岭新城·2室,2  室  1  厅  ·  55㎡  ·  南  ·  高楼层/19层  ·  简装,"
                海淀北部新区                 ","
                    唐家岭新城                ",5500
整租·玉泉路·金隅瑞和园·1室,1  室  1  厅  ·  35㎡  ·  南  ·  高楼层/16层  ·  简装,"
                玉泉路                 ","
                    金隅瑞和园                ",4200
整租·学院路·清枫华景园·1室,1  室  1  厅  ·  53㎡  ·  西  ·  中楼层/15层  ·  简装,"
                学院路                 ","
                    清枫华景园                ",6100
整租·德胜门·裕中西里·2室,2  室  1  厅  ·  52㎡  ·  南  ·  高楼层/6层  ·  简装,"
                德胜门                 ","
                    裕中西里                ",6700
整租·古城·古城南路小区·2室,2  室  1  厅  ·  44㎡  ·  南北  ·  高楼层/5层  ·  简装,"
                古城                 ","
                    古城南路小区                ",4700
整租·梨园·新通国际花园·2室,2  室  1  厅  ·  57㎡  ·  南  ·  中楼层/23层  ·  简装,"
                梨园                 ","
                    新通国际花园                ",3999
整租·乔庄·乔庄北区·2室,2  室  1  厅  ·  85㎡  ·  南  ·  低楼层/6层  ·  简装,"
                乔庄                 ","
                    乔庄北区                ",3260
整租·清河·福美苑·1室,1  室  1  厅  ·  52㎡  ·  南  ·  中楼层/23层  ·  简装,"
                清河                 ","
                    福美苑                ",5700
整租·永定门·望坛新苑3号院·1室,1  室  1  厅  ·  53㎡  ·  南  ·  中楼层/11层  ·  简装,"
                永定门                 ","
                    望坛新苑3号院                ",5500
整租·亚运村·安慧北里秀园·2室,2  室  1  厅  ·  62㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                亚运村                 ","
                    安慧北里秀园                ",6903
整租·天通苑·太平家园小区·2室,2  室  1  厅  ·  91㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                天通苑                 ","
                    太平家园小区                ",5500
整租·阜成门·北礼士路75、77、甲79号·1室,1  室  1  厅  ·  38㎡  ·  南北  ·  中楼层/7层  ·  简装,"
                阜成门                 ","
                    北礼士路75、77、甲79号                ",6200
整租·惠新西街·胜古南里·2室,2  室  1  厅  ·  52㎡  ·  西  ·  高楼层/14层  ·  简装,"
                惠新西街                 ","
                    胜古南里                ",6900
整租·甜水园·水碓子东路·1室,1  室  1  厅  ·  37㎡  ·  东  ·  中楼层/6层  ·  简装,"
                甜水园                 ","
                    水碓子东路                ",5350
整租·立水桥·溪城家园1号院·2室,2  室  1  厅  ·  80㎡  ·  南  ·  高楼层/15层  ·  简装,"
                立水桥                 ","
                    溪城家园1号院                ",5950
整租·立水桥·明天第一城1号院·1室,1  室  1  厅  ·  35㎡  ·  东南  ·  低楼层/6层  ·  简装,"
                立水桥                 ","
                    明天第一城1号院                ",4600
整租·广安门·小马厂南里·2室,2  室  1  厅  ·  58㎡  ·  南北  ·  低楼层/6层  ·  简装,"
                广安门                 ","
                    小马厂南里                ",6569
整租·科技园区·中海御鑫阁·1室,1  室  1  厅  ·  39㎡  ·  西  ·  中楼层/23层  ·  简装,"
                科技园区                 ","
                    中海御鑫阁                ",4300
整租·霍营·紫金新干线四期·2室,2  室  1  厅  ·  84㎡  ·  南  ·  中楼层/17层  ·  简装,"
                霍营                 ","
                    紫金新干线四期                ",5700
整租·清河·莱圳家园·1室,1  室  1  厅  ·  32㎡  ·  南北  ·  高楼层/18层  ·  简装,"
                清河                 ","
                    莱圳家园                ",5000
整租·青塔·青塔南里·2室,2  室  1  厅  ·  68㎡  ·  东西  ·  高楼层/28层  ·  简装,"
                青塔                 ","
                    青塔南里                ",5400
整租·四惠·壹线国际惠泽园·1室,1  室  1  厅  ·  49㎡  ·  东  ·  低楼层/9层  ·  简装,"
                四惠                 ","
                    壹线国际惠泽园                ",5800
整租·管庄·管庄西里·2室,2  室  1  厅  ·  59㎡  ·  南北  ·  中楼层/7层  ·  简装,"
                管庄                 ","
                    管庄西里                ",4900
整租·定福庄·泰福苑·1室,1  室  1  厅  ·  61㎡  ·  南  ·  高楼层/27层  ·  简装,"
                定福庄                 ","
                    泰福苑                ",5200
整租·刘家窑·方南家园一期·2室,2  室  1  厅  ·  56㎡  ·  南  ·  中楼层/6层  ·  简装,"
                刘家窑                 ","
                    方南家园一期                ",4700
整租·回龙观·万润家园·2室,2  室  1  厅  ·  66㎡  ·  北  ·  中楼层/12层  ·  简装,"
                回龙观                 ","
                    万润家园                ",5600
整租·双井·九龙花园·2室,2  室  1  厅  ·  82㎡  ·  东北  ·  高楼层/22层  ·  简装,"
                双井                 ","
                    九龙花园                ",8800
整租·广安门·荣丰2008·1室,1  室  1  厅  ·  33㎡  ·  东  ·  高楼层/28层  ·  简装,"
                广安门                 ","
                    荣丰2008                ",4500
合租·知春路·蓟门里东区·2室·房间B,2  室  1  厅  ·  15㎡  ·  北  ·  低楼层/15层  ·  简装,"
                知春路                 ","
                    蓟门里东区                ",3500
整租·中关村·中关村东大院·1室,1  室  1  厅  ·  47㎡  ·  南  ·  高楼层/6层  ·  简装,"
                中关村                 ","
                    中关村东大院                ",6800
整租·双井·广渠门外大街路南区·2室,2  室  1  厅  ·  56㎡  ·  南北  ·  中楼层/16层  ·  简装,"
                双井                 ","
                    广渠门外大街路南区                ",6099
整租·奥林匹克公园·拂林园·3室,3  室  2  厅  ·  140㎡  ·  南北  ·  低楼层/12层  ·  简装,"
                奥林匹克公园                 ","
                    拂林园                ",10450
整租·车道沟·玲珑经典·1室,1  室  1  厅  ·  38㎡  ·  南  ·  中楼层/16层  ·  简装,"
                车道沟                 ","
                    玲珑经典                ",5600
整租·双井·苹果社区南区·1室,1  室  1  厅  ·  55㎡  ·  北  ·  高楼层/22层  ·  简装,"
                双井                 ","
                    苹果社区南区                ",6480
整租·武夷花园·京贸国际城西区·1室,1  室  1  厅  ·  68㎡  ·  南  ·  中楼层/38层  ·  简装,"
                武夷花园                 ","
                    京贸国际城西区                ",3699
整租·安贞·安华里五区·2室,2  室  1  厅  ·  59㎡  ·  南北  ·  低楼层/5层  ·  简装,"
                安贞                 ","
                    安华里五区                ",7100
整租·苹果园·模式口西里·2室,2  室  1  厅  ·  61㎡  ·  东西  ·  高楼层/6层  ·  简装,"
                苹果园                 ","
                    模式口西里                ",4000
整租·刘家窑·石榴园北里·1室,1  室  1  厅  ·  50㎡  ·  南  ·  高楼层/6层  ·  简装,"
                刘家窑                 ","
                    石榴园北里                ",4500
整租·四季青·美丽西园·1室,1  室  1  厅  ·  53㎡  ·  南  ·  中楼层/10层  ·  简装,"
                四季青                 ","
                    美丽西园                ",6000
整租·北关·后窑小区·2室,2  室  1  厅  ·  79㎡  ·  南北  ·  中楼层/6层  ·  简装,"
                北关                 ","
                    后窑小区                ",3800
整租·五道口·展春园小区·1室,1  室  1  厅  ·  41㎡  ·  南  ·  高楼层/6层  ·  简装,"
                五道口                 ","
                    展春园小区                ",6500
整租·临河里·华业东方玫瑰D区·3室,3  室  1  厅  ·  98㎡  ·  南北  ·  中楼层/25层  ·  简装,"
                临河里                 ","
                    华业东方玫瑰D区                ",4900
整租·小西天·文慧园·2室,2  室  1  厅  ·  57㎡  ·  南北  ·  低楼层/6层  ·  简装,"
                小西天                 ","
                    文慧园                ",7200
整租·亚运村小营·太和小区·1室,1  室  1  厅  ·  36㎡  ·  南北  ·  中楼层/5层  ·  简装,"
                亚运村小营                 ","
                    太和小区                ",5460
整租·四惠·壹线国际惠泽园·2室,2  室  1  厅  ·  77㎡  ·  南  ·  低楼层/9层  ·  简装,"
                四惠                 ","
                    壹线国际惠泽园                ",6000
整租·方庄·芳群园四区·2室,2  室  1  厅  ·  61㎡  ·  西南  ·  中楼层/14层  ·  简装,"
                方庄                 ","
                    芳群园四区                ",5700
